spectrum,label,regime,alpha,boundary,line_style,cutoff_N,trace_H,T2_H,trace_K,T2_K,ordinary_quadratic_mean,ordinary_logdet,ordinary_total_mean,det2_constant,wick_quadratic_sd_p,log_density_sd_q,cf_finite_part_mean,finite_cutoff_identity_error,KL_p_to_q,KL_p_to_q_det2,KL_q_to_p,KL_q_to_p_det2,precision_covariance_kl_p_error,precision_covariance_kl_q_error
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,58082,2.2653855755526053,0.28012689796718965,2.7239273965333197,0.7751643189965549,1.1326927877763027,-1.2280387548328389,-0.0953459670565362,-0.09534596705651492,0.37425051634379186,0.6225609684988912,-0.09534596705651492,2.1274648709379562e-14,0.0953459670565362,0.09534596705651492,0.133924943433821,0.13392494343385286,2.1274648709379562e-14,3.186340080674199e-14
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,66104,2.271792338611909,0.28012690309422916,2.7303341647196526,0.7751643241236051,1.1358961693059546,-1.2312421376442402,-0.09534596833828557,-0.09534596833827547,0.37425051976866325,0.622560970557746,-0.09534596833827547,1.0103029524088925e-14,0.09534596833828557,0.09534596833827547,0.13392494471558614,0.1339249447156143,1.0103029524088925e-14,2.8171909249863347e-14
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,75232,2.278034221806711,0.2801269073711124,2.73657605219134,0.7751643284004933,1.1390171109033556,-1.2343630803108674,-0.09534596940751183,-0.09534596940749678,0.3742505226256287,0.6225609722752035,-0.09534596940749678,1.5057399771478686e-14,0.09534596940751183,0.09534596940749678,0.13392494578480263,0.133924945784836,1.5057399771478686e-14,3.3362201889985954e-14
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,85622,2.2841175513525487,0.28012691094005054,2.7426593853061236,0.7751643319694359,1.1420587756762743,-1.237404745976009,-0.09534597029973457,-0.0953459702997317,0.37425052500968553,0.6225609737083734,-0.0953459702997317,2.8727020762175925e-15,0.09534597029973457,0.0953459702997317,0.1339249466770529,0.13392494667707142,2.8727020762175925e-15,1.8512968935624485e-14
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,97446,2.2900450820051224,0.2801269139175725,2.7485869189362155,0.7751643349469609,1.1450225410025612,-1.2403685120466794,-0.09534597104411824,-0.09534597104411252,0.3742505269986754,0.6225609749040494,-0.09534597104411252,5.717648576819556e-15,0.09534597104411824,0.09534597104411252,0.13392494742142835,0.13392494742145247,5.717648576819556e-15,2.4119595209981526e-14
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,110903,2.295821295330843,0.2801269164019069,2.754363134746264,0.7751643374312973,1.1479106476654215,-1.2432566193306167,-0.0953459716651952,-0.09534597166519627,0.37425052865821506,0.6225609759016771,-0.09534597166519627,1.0685896612017132e-15,0.0953459716651952,0.09534597166519627,0.1339249480425153,0.13392494804253646,1.0685896612017132e-15,2.1149748619109232e-14
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,126219,2.301450203718943,0.2801269184747897,2.7599920452072144,0.7751643395041822,1.1507251018594715,-1.2460710740428709,-0.09534597218339935,-0.09534597218341703,0.3742505300429044,0.6225609767340795,-0.09534597218341703,1.7680301667155618e-14,0.09534597218339935,0.09534597218341703,0.13392494856073633,0.1339249485607576,1.7680301667155618e-14,2.1260770921571748e-14
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,143649,2.3069350053702773,0.28012692020419344,2.765476848587955,0.7751643412335877,1.1534675026851386,-1.2488134753008937,-0.09534597261575506,-0.09534597261576809,0.37425053119814905,0.6225609774285519,-0.09534597261576809,1.3031242751537775e-14,0.09534597261575506,0.09534597261576809,0.13392494899308383,0.1339249489931086,1.3031242751537775e-14,2.478572902475662e-14
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,163487,2.312279990956789,0.280126921647196,2.770821835617464,0.7751643426765912,1.1561399954783944,-1.2514859684548951,-0.09534597297650071,-0.09534597297651877,0.3742505321620772,0.6225609780080146,-0.09534597297651877,1.8055001937966608e-14,0.09534597297650071,0.09534597297651877,0.1339249493538368,0.13392494935385937,1.8055001937966608e-14,2.2565282975506307e-14
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,186064,2.3174883301475604,0.2801269228511338,2.776030176012194,0.7751643438805284,1.1587441650737802,-1.25409013835126,-0.09534597327747973,-0.09534597327750323,0.3742505329663097,0.6225609784914761,-0.09534597327750323,2.3495094758629875e-14,0.09534597327747973,0.09534597327750323,0.13392494965483714,0.13392494965484397,2.3495094758629875e-14,6.827871601444713e-15
