seed_index,model_seed,feature_seed,probe_seed,dimension,branch,trace_residue_coeff,batch_size,num_probes,num_grad_samples,series_order,num_threads,model_logit_jitter,variance_source,operator_semantics,objective_semantics,total_grad_variance,mean_grad_norm,mean_estimated_prior,std_estimated_prior,mean_trace_estimate,std_trace_estimate,trace_exact,t2_exact
4,15344309,15441312,15538315,1024,trace_residue_minus_0_5,-0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,19.609668731689453,8.837967872619629,-216.38425254821777,0.352223087581961,354.6143989562988,0.27555435977101106,354.66464829444885,123.17550962045846
4,15344309,15441312,15538315,1024,trace_residue_plus_0_5,0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.8544446229934692,2.875898599624634,138.23014640808105,0.07681047326534926,354.6143989562988,0.27555435977101106,354.66464829444885,123.17550962045846
4,15344309,15441312,15538315,1024,trace_residue_plus_1_0,1.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.6980787515640259,7.526165962219238,315.53734397888184,0.06137579898271367,354.6143989562988,0.27555435977101106,354.66464829444885,123.17550962045846
0,42085801,42182804,42279807,4096,cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,25.61163330078125,7.204657554626465,-133.2243685722351,0.43037417392291166,1325.5204887390137,0.5648562379527857,1325.5132363438606,430.1814313929593
0,42085801,42182804,42279807,4096,filtered_cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.04134391248226166,0.2653219401836395,-0.14450475946068764,0.32834501496963514,34.50856697559357,0.5642142225039227,34.586239411262795,1.2602056074563257
0,42085801,42182804,42279807,4096,trace_residue_minus_0_5,-0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,72.04736328125,16.684690475463867,-795.9846076965332,0.7127518322695962,1325.5204887390137,0.5648562379527857,1325.5132363438606,430.1814313929593
0,42085801,42182804,42279807,4096,trace_residue_plus_0_5,0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,2.678356647491455,5.911376953125,529.5358810424805,0.14819617298401064,1325.5204887390137,0.5648562379527857,1325.5132363438606,430.1814313929593
0,42085801,42182804,42279807,4096,trace_residue_plus_1_0,1.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,3.2475357055664062,15.082386016845703,1192.2961196899414,0.1350297535329255,1325.5204887390137,0.5648562379527857,1325.5132363438606,430.1814313929593
1,43085804,43182807,43279810,4096,cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,25.295530319213867,7.24107551574707,-136.8555178642273,0.4828963738082637,1325.4341621398926,0.6399106445116166,1325.3019869327545,430.0322845198086
1,43085804,43182807,43279810,4096,filtered_cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.04091823473572731,0.30122971534729004,-0.9525407608598471,0.3166240690572445,34.614097595214844,0.557604266061875,34.55875023920089,1.252518264958048
1,43085804,43182807,43279810,4096,trace_residue_minus_0_5,-0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,71.14627838134766,16.71562957763672,-799.572603225708,0.8027796768796616,1325.4341621398926,0.6399106445116166,1325.3019869327545,430.0322845198086
