m,channel_dimension_d,baseline,label,mechanism,channel_spectrum,physical_control,physical_parameter_name,physical_parameter_value,physical_distortion,dc_mask_response,anchored_dc_operator_gain,normalized_anchored_dc_response,physical_hs2,channel_trace,channel_hs2,raw_t2,centered_quadratic_variance,frequency_only_t2_lower_bound,analytic_uniform_t2_upper_bound,raw_t2_over_eta2_sqrt_d,growth_class
96,9216,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,57.599999999999994,34.56,362.80398851578,181.40199425789,34.56,nan,10.497800593627893,sqrt(d)
96,9216,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,57.599999999999994,34.56,308.1557080263678,154.0778540131839,34.56,nan,8.916542477614808,sqrt(d)
96,9216,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,57.599999999999994,34.56,283.33291596418275,141.66645798209137,34.56,nan,8.19829039248214,sqrt(d)
96,9216,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,57.599999999999994,34.56,179.08368654704816,89.54184327352408,34.56,nan,5.181819633884495,sqrt(d)
96,9216,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,5.457403794230029,0.8671613012873567,7.1092401650764465,3.5546200825382233,nan,8.85415362388071,0.20570718070244345,bounded
128,16384,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,76.8,0.7144186046511628,7.499824052005788,3.749912026002894,nan,7.558416427412083,0.16275659835082007,bounded
128,16384,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,76.8,46.08,483.7386513543733,241.86932567718665,46.08,nan,10.497800593627893,sqrt(d)
128,16384,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,76.8,46.08,410.8742773684903,205.43713868424516,46.08,nan,8.916542477614808,sqrt(d)
128,16384,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,76.8,46.08,377.77722128557696,188.88861064278848,46.08,nan,8.19829039248214,sqrt(d)
128,16384,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,76.8,46.08,238.77824872939752,119.38912436469876,46.08,nan,5.181819633884495,sqrt(d)
